NumTrees,MaxDepth,LeafSize,RMSE
193,34,1,26.8681478878623
30,34,3,38.4710455462058
199,47,1,26.0075954825699
30,15,17,73.4309597164702
67,31,5,53.3653423412313
39,15,6,55.7552336767127
30,43,4,49.64070291289
88,15,12,68.0546344067632
47,16,12,67.5181926204429
100,15,1,27.7801800574501
193,15,1,30.9955079766833
100,34,1,25.1809601778304
164,15,4,47.8765378169824
100,47,1,25.9393518283151
100,43,1,27.2634707247759
39,15,1,30.2939251051666
193,31,3,44.471031651824
163,30,17,73.1216754197641
39,8,4,51.769225760597
34,23,5,53.0276061114188
30,21,1,24.8546983012152
100,15,13,68.6194390318691
46,14,11,66.7519096301931
100,15,2,31.5664504469325
193,47,1,27.0921993192244
100,15,12,68.3996736891473
100,44,4,49.0957593417953
158,42,3,43.5214630891452
144,44,4,49.2974290556004
34,23,5,52.0531121526696
93,32,20,74.7568522304673
193,15,5,51.9840319361659
39,15,11,67.0938331886961
100,31,1,25.6080749377908
100,34,1,30.2176495616906
188,31,3,42.2325373190366
177,14,9,64.2302455495204
51,48,1,27.8232574210671
100,10,20,74.6917325623447
194,14,1,30.050605368623
101,33,2,36.2977861369379
43,24,7,60.7253196051416
50,48,2,34.8006211350409
50,47,1,28.3019038082194
51,49,2,36.603995992519
100,34,1,26.549131167047
30,21,1,23.9395476530424
100,34,1,25.2077349595901
100,47,4,47.1586007394013
164,15,1,29.5729296398941
67,31,5,54.0170235548179
100,34,1,28.2484528428519
30,21,20,73.7453989396889
47,34,12,67.8125048392968
194,14,1,31.4572103681723
158,42,3,42.0999883086045
158,42,3,41.5319681191622
34,23,5,53.1681267114331
100,31,1,26.1060112392725
193,15,1,30.5692587279903
51,34,1,31.9332129774054
100,23,12,68.617160025051
193,34,1,27.7223610664569
163,15,1,31.3183390464051
100,21,1,30.5336261060109
100,43,1,27.6348603640732
193,47,1,25.9718897642514
100,31,2,33.7045919358054
193,48,1,25.1281635986734
93,32,2,37.4104636454999
100,30,3,40.4248004023015
50,43,1,29.5942657645223
30,15,17,73.1024534879115
51,8,4,51.7902650820667
193,34,3,41.8682891750812
43,47,7,62.433676488664
100,30,3,42.5542788621488
50,47,1,28.8731847897612
100,15,6,55.8957859600446
39,44,1,27.6273124686995
199,31,1,27.1314120047186
34,23,9,63.1256828312658
164,14,4,47.665720667576
88,15,12,67.7495298104979
51,34,1,30.2635112210401
100,15,1,30.222241861856
51,46,1,33.6455653539371
51,47,2,35.6060094760294
100,44,1,24.359127854757
194,16,4,47.9268103737232
199,46,1,28.1024194594427
99,34,1,28.2714372096775
30,21,2,30.7197140974409
50,47,2,36.1533896734891
193,33,1,26.0710209598843
30,21,1,26.4077800666454
100,44,1,27.4238872147205
193,48,1,25.0058094276728
30,21,1,29.1126987811416
99,34,4,48.1491152615316
30,21,1,30.6845197952114
30,43,2,32.0851681539132
158,42,3,40.9842152428278
158,34,1,27.6769298662719
100,23,9,62.549532529362
39,44,1,31.5816192757284
193,31,1,27.9145458725763
199,48,1,25.4420740818752
100,34,1,28.4108575180549
39,15,1,31.3097826654598
100,23,1,28.6419895515341
30,21,1,33.2217968251523
164,15,1,30.5873032397813
51,34,1,28.2228185925549
30,21,2,34.4984000240792
193,33,1,26.5799586302123
100,44,1,24.8701054652027
100,44,4,52.0572578088744
51,14,4,50.0253233055447
100,34,1,28.0618081372147
193,46,3,43.7292410075153
30,48,1,31.11279050668
47,34,12,68.5899554463821
193,33,1,26.6918317348398
100,31,2,38.0037079027982
51,46,2,38.2474298560049
100,15,1,28.6722092542649
193,47,1,26.5057927916924
50,43,1,29.4936615988386
67,21,20,74.6834178082663
100,34,1,27.2299411440828
100,31,1,28.2802421779053
30,21,1,33.1606572691754
193,33,1,24.2084911814813
163,15,1,30.7382120980124
193,43,1,26.9809241267525
100,30,3,40.1361893732942
30,21,1,30.195366627041
163,16,1,30.3487419167711
100,44,1,27.4005830888858
93,32,2,38.3145521905307
200,31,2,37.8065770220322
49,48,1,26.0118043195955
43,48,7,57.4577072884364
99,47,4,47.228956396638
193,33,1,26.3325235435925
100,44,1,26.7639978306256
193,48,1,27.2778552549076
193,33,1,29.1297560863593
30,21,1,28.9236256034281
30,21,1,29.7568481134597
193,34,1,25.7679397692653
100,44,1,27.2081963473582
51,34,1,25.1653047606249
49,48,1,29.2522089887992
30,21,1,32.2312109801163
193,15,1,31.8315804187776
30,43,2,37.9748129711774
100,44,1,26.138241009265
193,47,1,27.7284836131453
163,34,1,23.4194889160731
51,44,4,51.0270989979228
100,34,1,25.645556273447
193,33,1,27.8459872634325
49,33,1,22.9675449615906
193,48,1,25.6154135893112
199,34,1,25.8755367678635
100,21,2,36.6637986041197
193,34,1,27.6996093600914
30,23,9,62.0879511379087
193,15,1,30.6519373286827
49,48,1,27.8139156742878
100,44,4,49.7914678815699
193,23,1,28.8741536133931
199,48,1,27.3082222754901
100,31,1,28.3498043446974
193,21,1,28.8861836518202
39,15,1,31.4167258432471
50,44,1,30.077392760061
30,48,1,34.3705605106569
158,42,3,44.4427679785234
99,21,4,49.549058501201
100,44,1,27.176637882629
193,33,1,30.3392911475794
193,47,1,24.6408542495131
100,34,1,28.426777650523
99,47,4,47.3955576573736
50,43,1,24.545961167522
100,23,1,30.0609732186749
39,44,1,24.6373396845549
30,21,1,33.0020559739596
200,48,1,26.6959069507547
30,21,1,30.8178103612717
47,34,13,69.6178510328834
200,31,2,35.7253780922104
49,33,1,23.3204712030216
163,34,1,27.2553166508557
50,43,1,30.1713150608785
193,33,1,24.2006815427388
51,34,1,26.6602923118239
100,44,1,24.1028721781353
49,33,1,25.5214754088948
193,21,1,26.6363579807194
193,47,2,37.8933374271803
100,23,1,28.9506314464046
100,44,1,24.1340897686167
193,15,1,30.96510348785
49,33,1,31.0008957587248
100,31,1,26.170421183703
163,48,1,25.5487540802604
158,34,1,25.1647799339623
193,33,1,26.3810048060664
193,34,1,27.4833597525813
193,34,1,26.3374972378992
49,33,1,30.2290587044438
39,44,1,28.9895978923307
49,33,1,27.1427099076055
100,34,1,28.3057513868073
30,21,1,28.8396873322303
193,44,1,25.6196054019796
99,21,1,30.1053242398258
199,34,1,26.1520599546338
50,43,1,25.9249642426225
30,21,1,35.9397492630792
193,47,1,25.6772518651915
200,48,1,28.4987012890104
51,34,1,29.8781491828141
50,33,1,28.0658540117719
51,44,1,29.9024647011659
193,34,1,24.7850473612204
30,44,1,25.4416073795558
100,48,1,26.8377657230491
200,48,9,64.3611439139449
200,34,2,37.4183176079873
50,43,1,26.4754513392184
39,23,1,26.8137475411741
163,34,2,36.9378720809512
99,48,4,47.2505422768363
193,34,1,27.2678374257948
100,21,2,36.653075972132
30,21,2,38.667151208008
193,15,1,28.8205035253481
100,45,1,25.7134696629572
100,34,2,35.5184678585822
193,33,1,26.8247486528657
49,33,1,25.2749528759496
100,44,1,24.7622735084183
100,44,1,26.4052736214491
100,34,1,26.2471336397889
49,34,1,26.1289882527932
30,44,1,28.3380868815315
158,34,1,27.1243204306113
39,44,1,27.7001248900902
193,15,1,28.8610574845444
50,43,1,28.8727800986815
100,34,1,24.4444766627608
50,43,1,24.644794462723
200,34,1,29.6665647620324
49,33,1,27.3480362809307
193,33,1,27.08352988618
30,33,1,28.4266034562014
193,33,1,25.3223265058946
193,33,1,28.1980512805139
193,21,1,26.7822914024801
51,34,1,29.9108328146371
99,33,1,31.3975283393609
193,48,1,26.7396984290346
100,45,1,25.3474388219994
30,31,1,31.8387370083559
51,34,1,25.4015858798454
51,44,1,28.9041034030714
30,21,1,30.135800617696
100,23,1,27.6601043124509
163,43,1,28.9836919972334
200,48,1,25.2989182081955
193,34,1,25.5743062665695
49,33,1,33.4549971203835
50,33,1,32.7799859406425
49,34,1,31.5112269287826
199,34,1,27.3577205840026
30,44,1,23.4220713995232
51,34,1,26.9281874367914
99,47,2,33.6985790050009
49,33,1,26.9342361883666
100,44,1,28.1761980643008
163,34,1,27.4369647903309
100,48,1,26.0596951487306
100,44,1,26.7158881702543
193,47,1,25.7531223144956
100,23,1,27.9074409197174
100,22,2,35.0281807096045
100,31,1,29.2251205598146
193,15,1,29.931751693552
193,44,1,26.9346327619278
39,23,1,28.2662594104593
30,44,1,30.0116910648982
100,34,1,24.2197793446919
50,43,1,26.7064711335468
30,44,1,25.603457310544
200,44,1,26.5388424352823
49,34,1,27.5623251617139
193,43,1,26.7545108374235
100,34,1,27.4857204663446
30,44,1,27.3201573405947
50,33,1,29.2152940208668
39,44,1,28.155828167271
163,15,1,29.0596394340195
99,33,1,29.4374349314235
50,43,1,30.1512235617643
51,44,1,30.2852936111105
100,34,2,39.6269839726435
100,21,1,28.8984917049748
100,23,1,29.1140337149115
51,34,1,29.5312298321227
