NumTrees,MaxDepth,LeafSize,RMSE
142,43,1,0.0536694586651402
141,28,1,0.0520993597962537
100,41,1,0.0533767514278928
142,43,1,0.0511541407449702
140,44,1,0.0535478628859319
100,41,1,0.0535579566274656
142,41,1,0.0489957316871812
140,43,1,0.0560483846210448
85,41,1,0.0516188680831719
143,43,1,0.0531001214038418
84,43,1,0.0501137975366266
144,34,1,0.0515304684850258
100,34,1,0.0524167312705771
141,44,1,0.0532164416546446
142,32,1,0.0520186693599319
144,31,1,0.0507399385572212
140,44,1,0.0499238518787684
100,43,3,0.0790945949755096
85,44,2,0.0688712217448951
141,42,1,0.0530885428928195
84,43,1,0.0512150167791442
141,43,1,0.0534228382865415
85,30,1,0.0530253598700144
142,41,1,0.0533896645167185
141,44,1,0.05833836346696
142,45,1,0.0520476055429248
144,31,1,0.0527993684237349
140,43,1,0.0546959333308487
100,44,1,0.0538273627575438
143,44,1,0.0545154608189681
100,42,1,0.052265876756986
84,43,1,0.0544805863529528
85,41,1,0.049830141670614
142,43,1,0.0547314339449788
142,42,1,0.0516820440026446
141,28,1,0.053482458050559
163,43,1,0.0518323779589959
164,43,1,0.0504924765236016
143,42,1,0.051856833224331
144,30,1,0.0530959608167645
143,44,1,0.0525460954197106
86,42,2,0.0674457550052885
143,42,1,0.0505268232490819
85,30,1,0.0526447726047033
143,44,2,0.0689371439320769
86,43,1,0.0563652588609995
140,42,1,0.0530632289279251
142,43,2,0.0698727340537041
164,43,1,0.0526170389161162
85,42,1,0.0540376557299683
142,41,1,0.0533969803533971
85,41,1,0.0516593315509764
140,44,1,0.0520430269405203
143,42,1,0.0505739097426081
140,43,1,0.0540287269121916
144,43,1,0.0511690370966338
164,43,1,0.0542122570959043
144,41,1,0.0535403823742827
85,43,1,0.053161696488909
100,30,3,0.078415129623325
144,44,1,0.0530602616187054
84,42,1,0.0578760568625103
140,44,1,0.050556687478758
144,41,1,0.0510720949769152
100,44,1,0.054679886945391
86,32,2,0.0654671422610345
164,43,2,0.0665615471256461
85,43,1,0.0540823602533922
84,43,1,0.0557706172871826
163,43,1,0.0515591196368436
142,41,1,0.0524244857160797
85,30,2,0.0676507160378953
